alpha,n,d,theta_star,power,power_approx_2
0.1,1000,1,0.023,0.188274348322127,0.280983292387215
0.1,1000,2,0.023,0.22452650064466,0.29485921518189
0.1,1000,10,0.023,0.405914479460075,0.456732411048771
0.1,1000,1,0.024,0.195946642873333,0.293062124255858
0.1,1000,2,0.024,0.235651172592016,0.310195384018758
0.1,1000,10,0.024,0.434782716220669,0.486188028983307
0.1,1000,1,0.025,0.203910960563375,0.305245374772727
0.1,1000,2,0.025,0.247226483337813,0.325734130979384
0.1,1000,10,0.025,0.464466113657194,0.515626168124524
0.1,1000,1,0.026,0.212161922045106,0.317503606186683
0.1,1000,2,0.026,0.259242333837296,0.341429377291894
0.1,1000,10,0.026,0.49478196930236,0.544857698563695
0.1,1000,1,0.027,0.220693757812729,0.329809640198877
0.1,1000,2,0.027,0.271687117356494,0.357237291508887
0.1,1000,10,0.027,0.525531579324489,0.573704741590246
0.1,1000,1,0.028,0.229500299893802,0.342138540644055
0.1,1000,2,0.028,0.284547684050057,0.373116492919768
0.1,1000,10,0.028,0.556503914294015,0.602003340506361
0.1,1000,1,0.029,0.23857497515789,0.354467560800456
0.1,1000,2,0.029,0.297809318855608,0.389028182884305
0.1,1000,10,0.029,0.587479864371401,0.629605503026212
0.1,1000,1,0.03,0.247910800358849,0.36677606349769
0.1,1000,2,0.03,0.311455733336599,0.404936214128312
0.1,1000,10,0.03,0.618236910784517,0.656380628030177
0.1,1000,1,0.031,0.25750037901576,0.379045421295981
0.1,1000,2,0.031,0.325469071955045,0.420807108062556
0.1,1000,10,0.031,0.648554053348442,0.682216352769371
0.1,1000,1,0.032,0.267335900224628,0.391258903016759
0.1,1000,2,0.032,0.339829933095368,0.43661002972357
0.1,1000,10,0.032,0.678216805080351,0.707018873425249
0.1,1000,1,0.033,0.277409139479303,0.403401551898588
0.1,1000,2,0.033,0.354517404992934,0.452316729158828
0.1,1000,10,0.033,0.707022056302703,0.730712802815917
0.1,1000,1,0.034,0.287711461565651,0.415460059691786
0.1,1000,2,0.034,0.369509116547746,0.467901457124328
0.1,1000,10,0.034,0.734782612953446,0.753240634836015
0.1,1000,1,0.035,0.298233825578019,0.427422640125851
0.1,1000,2,0.035,0.384781302827461,0.483340861933172
0.1,1000,10,0.035,0.761331227286846,0.77456188684845
0.1,1000,1,0.036,0.308966792091575,0.439278904405312
0.1,1000,2,0.036,0.400308884886926,0.498613873263953
0.1,1000,10,0.036,0.786523963078353,0.794651989638846
0.1,1000,1,0.037,0.31990053250828,0.451019740718941
0.1,1000,2,0.037,0.416065563356177,0.513701577757954
0.1,1000,10,0.037,0.810242770375037,0.813500990553576
0.1,1000,1,0.038,0.331024840578233,0.462637199183078
0.1,1000,2,0.038,0.432023925077964,0.528587090335652
0.1,1000,10,0.038,0.832397184611811,0.831112129820678
0.1,1000,1,0.039,0.342329146081987,0.474124383175452
0.1,1000,2,0.039,0.448155561911862,0.543255424362391
0.1,1000,10,0.039,0.852925108888705,0.84750034342967
0.1,1000,1,0.04,0.353802530643375,0.485475347641633
