n,alpha,d,theta_star,power
1000,0.1,1,0.132,0.7058
1000,0.1,2,0.132,0.8914
1000,0.1,10,0.132,0.9996
1000,0.1,1,0.133,0.7082
1000,0.1,2,0.133,0.8974
1000,0.1,10,0.133,0.9998
1000,0.1,1,0.134,0.7198
1000,0.1,2,0.134,0.8994
1000,0.1,10,0.134,1
1000,0.1,1,0.135,0.72
1000,0.1,2,0.135,0.9092
1000,0.1,10,0.135,0.9996
1000,0.1,1,0.136,0.7324
1000,0.1,2,0.136,0.907
1000,0.1,10,0.136,0.9998
1000,0.1,1,0.137,0.731
1000,0.1,2,0.137,0.9004
1000,0.1,10,0.137,0.9998
1000,0.1,1,0.138,0.7386
1000,0.1,2,0.138,0.9072
1000,0.1,10,0.138,1
1000,0.1,1,0.139,0.759
1000,0.1,2,0.139,0.921
1000,0.1,10,0.139,0.9998
1000,0.1,1,0.14,0.7604
1000,0.1,2,0.14,0.9198
1000,0.1,10,0.14,1
1000,0.1,1,0.141,0.7648
1000,0.1,2,0.141,0.9212
1000,0.1,10,0.141,1
1000,0.1,1,0.142,0.7696
1000,0.1,2,0.142,0.9266
1000,0.1,10,0.142,1
1000,0.1,1,0.143,0.7778
1000,0.1,2,0.143,0.9264
1000,0.1,10,0.143,1
1000,0.1,1,0.144,0.7842
1000,0.1,2,0.144,0.9344
1000,0.1,10,0.144,1
1000,0.1,1,0.145,0.792
1000,0.1,2,0.145,0.9316
1000,0.1,10,0.145,1
1000,0.1,1,0.146,0.7842
1000,0.1,2,0.146,0.9332
1000,0.1,10,0.146,1
1000,0.1,1,0.147,0.793
1000,0.1,2,0.147,0.9354
1000,0.1,10,0.147,1
1000,0.1,1,0.148,0.8004
1000,0.1,2,0.148,0.941
1000,0.1,10,0.148,0.9998
1000,0.1,1,0.149,0.8028
1000,0.1,2,0.149,0.9438
1000,0.1,10,0.149,1
1000,0.1,1,0.15,0.8122
1000,0.1,2,0.15,0.9458
1000,0.1,10,0.15,1
1000,0.1,1,0.151,0.8092
1000,0.1,2,0.151,0.9484
1000,0.1,10,0.151,1
1000,0.1,1,0.152,0.8238
1000,0.1,2,0.152,0.9508
1000,0.1,10,0.152,1
1000,0.1,1,0.153,0.8276
1000,0.1,2,0.153,0.95
1000,0.1,10,0.153,1
1000,0.1,1,0.154,0.8252
1000,0.1,2,0.154,0.9564
1000,0.1,10,0.154,1
1000,0.1,1,0.155,0.8338
1000,0.1,2,0.155,0.9526
1000,0.1,10,0.155,1
1000,0.1,1,0.156,0.8332
1000,0.1,2,0.156,0.9572
1000,0.1,10,0.156,1
1000,0.1,1,0.157,0.838
1000,0.1,2,0.157,0.9536
1000,0.1,10,0.157,1
1000,0.1,1,0.158,0.8432
1000,0.1,2,0.158,0.9572
1000,0.1,10,0.158,1
1000,0.1,1,0.159,0.8412
1000,0.1,2,0.159,0.9608
1000,0.1,10,0.159,1
1000,0.1,1,0.16,0.8562
1000,0.1,2,0.16,0.9562
