n,d,coord1,coord2,sim,theta_star_coord1,theta_star_coord2,covered
1000,2,-0.129,-0.021,1,0,0,1
1000,2,-0.129,-0.02,1,0,0,1
1000,2,-0.129,-0.019,1,0,0,1
1000,2,-0.129,-0.018,1,0,0,1
1000,2,-0.129,-0.017,1,0,0,1
1000,2,-0.129,-0.016,1,0,0,1
1000,2,-0.129,-0.015,1,0,0,1
1000,2,-0.129,-0.014,1,0,0,1
1000,2,-0.129,-0.013,1,0,0,1
1000,2,-0.129,-0.012,1,0,0,1
1000,2,-0.129,-0.011,1,0,0,1
1000,2,-0.129,-0.01,1,0,0,1
1000,2,-0.129,-0.00900000000000001,1,0,0,1
1000,2,-0.129,-0.00800000000000001,1,0,0,1
1000,2,-0.129,-0.00700000000000001,1,0,0,1
1000,2,-0.129,-0.00600000000000001,1,0,0,1
1000,2,-0.129,-0.005,1,0,0,1
1000,2,-0.129,-0.004,1,0,0,1
1000,2,-0.129,-0.003,1,0,0,1
1000,2,-0.129,-0.002,1,0,0,1
1000,2,-0.129,-0.001,1,0,0,1
1000,2,-0.129,0,1,0,0,1
1000,2,-0.129,0.001,1,0,0,1
1000,2,-0.129,0.002,1,0,0,1
1000,2,-0.129,0.003,1,0,0,1
1000,2,-0.129,0.004,1,0,0,1
1000,2,-0.129,0.005,1,0,0,1
1000,2,-0.129,0.00600000000000001,1,0,0,1
1000,2,-0.129,0.00700000000000001,1,0,0,1
1000,2,-0.129,0.00800000000000001,1,0,0,1
1000,2,-0.129,0.00900000000000001,1,0,0,1
1000,2,-0.129,0.01,1,0,0,1
1000,2,-0.129,0.011,1,0,0,1
1000,2,-0.129,0.012,1,0,0,1
1000,2,-0.129,0.013,1,0,0,1
1000,2,-0.129,0.014,1,0,0,1
1000,2,-0.129,0.015,1,0,0,1
1000,2,-0.129,0.016,1,0,0,1
1000,2,-0.129,0.017,1,0,0,1
1000,2,-0.129,0.018,1,0,0,1
1000,2,-0.129,0.019,1,0,0,1
1000,2,-0.129,0.02,1,0,0,1
1000,2,-0.128,-0.046,1,0,0,1
1000,2,-0.128,-0.045,1,0,0,1
1000,2,-0.128,-0.044,1,0,0,1
1000,2,-0.128,-0.043,1,0,0,1
1000,2,-0.128,-0.042,1,0,0,1
