n,n_sim,B,alpha,d,theta_star_1,reject,mean_test_stat,mean_case_1_prop,mean_case_2_prop,mean_case_3_prop
1000,1000,100,0.1,2,0.5,0.001,0.796260523407986,0.48918,0.51082,0
1000,1000,100,0.1,2,0.52,0,0.804667272710476,0.31898,0.68102,0
1000,1000,100,0.1,2,0.54,0,0.873566716246553,0.18235,0.817650000000001,0
1000,1000,100,0.1,2,0.56,0,0.933872112428658,0.08161,0.918390000000001,0
1000,1000,100,0.1,2,0.58,0,0.968988612039766,0.03626,0.963740000000001,0
1000,1000,100,0.1,2,0.6,0,0.988957684093617,0.012,0.988000000000001,0
1000,1000,100,0.1,2,0.62,0,0.996113289985856,0.00429,0.995710000000001,0
1000,1000,100,0.1,2,0.64,0,0.99929308914072,0.00071,0.999290000000001,0
1000,1000,100,0.1,2,0.66,0,0.999880652289832,0.00012,0.999880000000001,0
1000,1000,100,0.1,2,0.68,0,0.999980000107962,2e-05,0.999980000000001,0
1000,1000,100,0.1,2,0.7,0,1,0,1,0
1000,1000,100,0.1,2,0.72,0,1,0,1,0
1000,1000,100,0.1,2,0.74,0,1,0,1,0
1000,1000,100,0.1,2,0.76,0,1,0,1,0
1000,1000,100,0.1,2,0.78,0,1,0,1,0
1000,1000,100,0.1,2,0.8,0,1,0,1,0
1000,1000,100,0.1,2,0.82,0,0.999999949303146,0,0.999990000000001,1e-05
1000,1000,100,0.1,2,0.84,0,0.999939789521407,0,0.999840000000001,0.00016
1000,1000,100,0.1,2,0.86,0,0.999620632393633,0,0.999050000000001,0.00095
1000,1000,100,0.1,2,0.88,0,0.998407857163996,0,0.996430000000001,0.00357
1000,1000,100,0.1,2,0.9,0,0.99354544636578,0,0.986040000000001,0.01396
1000,1000,100,0.1,2,0.92,0,0.983902324762767,0,0.962350000000001,0.03765
1000,1000,100,0.1,2,0.94,0,0.960092228699615,0,0.901840000000001,0.09816
1000,1000,100,0.1,2,0.96,0,0.93336287264287,0,0.80791,0.19209
1000,1000,100,0.1,2,0.98,0.001,0.934968264669479,0,0.65854,0.34146
1000,1000,100,0.1,2,1,0,0.956687110540243,0,0.49913,0.50087
1000,1000,100,0.1,2,1.01,0.003,1.08492327925859,0,0.40587,0.59413
1000,1000,100,0.1,2,1.02,0.007,1.71123038267478,0,0.31135,0.68865
1000,1000,100,0.1,2,1.03,0.018,1.69812140307589,0,0.24579,0.754210000000001
1000,1000,100,0.1,2,1.04,0.045,3.05983404197364,0,0.18178,0.818220000000001
