alpha,n,d,theta_star,power,power_approx_2
0.1,1000,10,0.015,0.0413363889358826,0.0234975078661607
0.1,1000,1,0.016,0.00594289737466989,2.44288136812718e-06
0.1,1000,2,0.016,0.012513676598774,0.000416670817180019
0.1,1000,10,0.016,0.0473882766292462,0.0294579382778965
0.1,1000,1,0.017,0.00645847800268961,4.20493459352074e-06
0.1,1000,2,0.017,0.01373245363537,0.000588117741822138
0.1,1000,10,0.017,0.0543520511028015,0.0367143326741104
0.1,1000,1,0.018,0.0070206892171525,7.13820328284615e-06
0.1,1000,2,0.018,0.015077970683221,0.000822911176976388
0.1,1000,10,0.018,0.0623277685674739,0.0454412024146266
0.1,1000,1,0.019,0.00763229034421884,1.19278255114222e-05
0.1,1000,2,0.019,0.0165597512347746,0.00114006032925965
0.1,1000,10,0.019,0.0714185851946663,0.055806390805961
0.1,1000,1,0.02,0.00829620746728873,1.95915719570273e-05
0.1,1000,2,0.02,0.0181878775029905,0.00156242197896995
0.1,1000,10,0.02,0.0817288448693296,0.067963337148582
0.1,1000,1,0.021,0.00901553355284662,3.16007828703052e-05
0.1,1000,2,0.021,0.019972977846894,0.00211687479794284
0.1,1000,10,0.021,0.0933617692627905,0.0820433004593273
0.1,1000,1,0.022,0.00979352822786039,5.00258105795179e-05
0.1,1000,2,0.022,0.0219262098641365,0.00283433804332175
0.1,1000,10,0.022,0.10641676601796,0.0981480899105425
0.1,1000,1,0.023,0.0106336171602473,7.77034200455065e-05
0.1,1000,2,0.023,0.0240592387340563,0.00374961292506773
0.1,1000,10,0.023,0.120986393803419,0.116343818747499
0.1,1000,1,0.024,0.0115393909934825,0.000118420754090424
0.1,1000,2,0.024,0.0263842104188949,0.00490103735420171
0.1,1000,10,0.024,0.13715304816468,0.136656115460911
0.1,1000,1,0.025,0.0125146037863641,0.000177107641587817
0.1,1000,2,0.025,0.0289137193625939,0.00632995844725776
0.1,1000,10,0.025,0.154985458173248,0.159067103564103
0.1,1000,1,0.026,0.0135631709092055,0.000260026616055096
0.1,1000,2,0.026,0.0316607703661517,0.00808004046806149
0.1,1000,10,0.026,0.174535109203491,0.183514316702949
0.1,1000,1,0.027,0.014689166348401,0.000374948389843493
0.1,1000,2,0.027,0.0346387343659107,0.010196437367913
0.1,1000,10,0.027,0.195832729854094,0.209891566995364
0.1,1000,1,0.028,0.015896819372324,0.00053129996790473
0.1,1000,2,0.028,0.0378612978965502,0.0127248676458222
0.1,1000,10,0.028,0.218884999040028,0.238051647413196
0.1,1000,1,0.029,0.0171905105129985,0.000740273210017507
